චිත්තසඞ්කප්පොති	1
මරණසඤ්ඤී	1
මරණචෙතනො	1
මරණාධිප්පායො	1
අනෙකපරියායෙනාති	1
උච්චාවචෙහි	2
ආකාරෙහි	14
කරොහි	19
සොබ්භෙ	2
නරකෙ	2
පපාතෙ	3
පපතාති	1
පුරිමෙ	2
පුථුසිලා	3
ද්වෙධා	2
අප්පටිසන්ධිකා	2
වොරොපෙත්වා	1
සාමන්ති	4
සයං	80
හන්ති	17
කායෙන	129
කායපටිබද්ධෙන	15
නිස්සග්ගියෙන	24
අධිට්ඨායාති	1
අධිට්ඨහිත්වා	5
විජ්ඣ	1
පහර	1
ඝාතෙහීති	3
වොරොපෙහීති	6
වොරොපෙති	8
වධකස්ස	2
අසඤ්චිච්ච	36
මරණාධිප්පායස්ස	2
මනුස්සවිග්ගහපාරාජිකම්හි	1
සංවණ්ණනා	1
නිසීදන්තො	13
මුසලොදුක්ඛලෙන	1
බුඩ්ඪපබ්බජිතා	1
ලග්ගවීමංසනාවිසං	1
වත්ථුකම්මෙහි	1
ඉට්ඨකාහිපරෙ	1
වාසී	1
ගොපානසී	1
අට්ටකො	1
තාරණම්පති	1
සෙදං	2
නත්ථු	1
සම්බාහො	1
නහාපනබ්භඤ්ජනෙන	1
උට්ඨාපෙන්තො	1
නිපාතෙන්තො	1
අන්නපානෙන	2
මරණං	9
ජාරගබ්භො	1
සපත්තී	1
වධි	3
මිය්යරෙ	1
මද්දා	1
තාපං	1
වඤ්ඣා	2
විජායිනී	1
පතොදං	1
නිග්ගහෙ	1
යක්ඛො	27
වාළයක්ඛඤ්ච	1
පාහිණී	1
පහරි	1
සග්ගඤ්ච	3
නිරයං	48
භණෙ	13
ආලවියා	1
රුක්ඛා	10
දායෙහි	1
කිලමෙසි	1
තුය්හං	9
තක්කං	1
සොවීරකෙන	1
කාලමකාසි	16
ගිලානො	61
සෙදෙසුං	1
මරණාධිප්පායස්සාති	16
අඤ්ඤතරස්ස	61
භික්ඛුනො	388
සීසාභිතාපො	1
නත්ථුං	1
අදංසු	6
සම්බාහෙසුං	1
නහාපෙසුං	1
තෙලෙන	1
අබ්භඤ්ජිංසු	1
උට්ඨාපෙසුං	1
නිපාතෙසුං	1
අන්නං	7
පානං	5
සත්තරසවග්ගියා	4
ඡබ්බග්ගියං	1
කරිස්සාමාති	9
ඔත්ථරිත්වා	4
මාරෙසුං	1
පාරාජිකස්සාති	1
භූතවෙජ්ජකො	1
යක්ඛං	2
වොරොපෙසි	4
අඤ්ඤතරං	64
වාළයක්ඛවිහාරං	1
පාහෙසි	9
යක්ඛා	11
වොරොපෙසුං	4
වාළකන්තාරං	1
වාළා	2
චොරකන්තාරං	2
චොරා	8
අමනුස්සෙන	1
ගහිතො	9
පහාරං	12
අදාසි	10
කල්යාණකම්මකස්ස	1
සග්ගකථං	2
කථෙසි	3
අධිමුත්තො	3
නෙරයිකස්ස	1
නිරයකථං	2
උත්තසිත්වා	1
ඡබ්බග්ගියා	213
දායං	3
ආලිම්පෙසුං	1
මනුස්සා	105
දඩ්ඪා	2
කාලමකංසු	1
චතුත්ථපාරාජිකං	3
ගිහීනං	10
අඤ්ඤමඤ්ඤස්ස	5
උත්තරිමනුස්සධම්මස්ස	2
භාසිංසු	2
අසුකො	2
පඨමස්ස	5
ඣානස්ස	7
ලාභී	18
ඡළභිඤ්ඤොති	1
පඤ්චිමෙ	112
මහාචොරා	2
සංවිජ්ජමානා	60
ලොකස්මිං	118
කතමෙ	505
පුන	231
චපරං	162
ඉධෙකච්චො	10
පාපභික්ඛු	11
තථාගතප්පවෙදිතං	4
ධම්මවිනයං	5
පරියාපුණිත්වා	4
දහති	1
දුතියො	113
මහාචොරො	10
සංවිජ්ජමානො	4
සුද්ධං	5
බ්රහ්මචාරිං	1
චරන්තං	2
අමූලකෙන	12
අබ්රහ්මචරියෙන	1
අනුද්ධංසෙති	13
තතියො	89
අඤ්ඤථා	23
සන්තමත්තානං	1
පවෙදයෙ	1
නිකච්ච	1
කිතවස්සෙව	1
භුත්තං	6
ථෙය්යෙන	2
